family,ligand_id,x,y,z,cluster,kept
Donor,1XP1_AIH_A600,20.425,-10.663,2.166,0,1
Donor,1XP1_AIH_A600,25.224,-12.627,12.54,3,0
Donor,1XP1_AIH_A600,27.858,-4.597,6.084,1,1
Donor,1XP6_AIU_A600,20.471,-10.689,2.235,0,1
Donor,1XP6_AIU_A600,25.262,-12.518,12.539,3,0
Donor,1XP6_AIU_A600,27.996,-4.357,6.201,1,1
Donor,1XP9_AIJ_A600,20.437,-10.696,2.239,0,1
Donor,1XP9_AIJ_A600,25.272,-12.632,12.569,3,0
Donor,1XP9_AIJ_A600,27.995,-4.208,6.081,1,1
Donor,1XPC_AIT_A600,20.437,-10.77,2.223,0,1
Donor,1XPC_AIT_A600,25.335,-12.591,12.552,3,0
Donor,1XPC_AIT_A600,27.584,-4.197,6.083,1,1
Donor,2IOG_IOG_A600,20.764,-11.028,1.957,0,1
Donor,2IOG_IOG_A600,24.16,-12.936,9.358,2,0
Donor,2IOG_IOG_A600,28.27,-11.411,9.206,5,0
Donor,2IOG_IOG_A600,28.165,-4.571,6.128,1,1
Donor,4ZNS_OFB_B601,20.856,-10.753,2.056,0,1
Donor,4ZNS_OFB_B601,28.441,-8.598,6.938,4,0
Donor,4ZNV_4Q7_B601,20.822,-10.755,1.883,0,1
Donor,4ZNV_4Q7_B601,27.874,-8.016,7.056,4,0
Donor,5KCD_OB2_A601,20.809,-10.883,1.961,0,1
Donor,5KCD_OB2_A601,28.259,-8.444,6.817,4,0
Donor,5KCE_OB3_A602,28.729,-8.923,6.786,4,0
Donor,5KCE_OB3_A602,20.862,-10.726,2.053,0,1
Donor,5KCT_OB6_B601,20.843,-10.906,1.887,0,1
Donor,5KCT_OB6_B601,28.688,-8.449,6.042,4,0
Donor,5KCT_OB7_A601,21.036,-10.824,2.267,0,1
Donor,5KCT_OB7_A601,28.645,-7.505,6.272,4,0
Donor,5U2D_OBH_A601,20.727,-10.801,1.874,0,1
Donor,5U2D_OBH_A601,27.964,-7.824,7.121,4,0
Donor,5W9C_OHT_D601,21.195,-10.836,1.682,0,1
Donor,5W9C_OHT_D601,28.373,-4.377,5.76,1,1
Donor,5W9D_9XY_A601,28.219,-4.303,5.569,1,1
Donor,5W9D_9XY_A601,20.868,-10.95,1.974,0,1
Donor,6PSJ_29S_B601,27.656,-4.3,6.534,1,1
Donor,6PSJ_29S_B601,20.84,-10.932,1.681,0,1
Donor,6PSJ_29S_B601,24.47,-14.429,12.064,3,0
Donor,6VJD_C3D_C601,20.724,-11.042,1.856,0,1
Donor,6VJD_C3D_C601,28.256,-4.888,6.208,1,1
Donor,6VPF_53Q_B601,27.762,-4.122,6.087,1,1
Donor,7NDO_RAL_B601,20.859,-10.824,1.933,0,1
Donor,7NDO_RAL_B601,24.754,-14.994,12.249,3,0
Donor,7NDO_RAL_B601,28.59,-3.85,5.917,1,1
Donor,7RRY_L84_C601,28.205,-2.954,7.903,1,1
Donor,7RRY_L84_C601,20.806,-10.937,1.704,0,1
Donor,7RRY_L84_C601,28.271,-7.495,6.052,4,0
Donor,7RRZ_77I_C601,29.119,-2.894,4.833,1,1
Donor,7RS3_7OR_B604,20.862,-10.81,1.762,0,1
Donor,7RS8_7EI_C601,28.923,-3.767,5.637,1,1
Donor,7RS8_7EI_C601,20.872,-10.975,1.921,0,1
Donor,7UJ7_NYU_C901,27.311,-3.665,5.805,1,1
Donor,7UJ7_NYU_C901,21.015,-10.918,2.069,0,1
Donor,7UJ7_NYU_C901,27.267,-13.111,10.829,5,0
Donor,7UJF_R3V_C601,28.32,-4.823,6.184,1,1
Donor,7UJF_R3V_C601,20.805,-10.998,1.865,0,1
Donor,7UJO_QYM_C601,27.543,-4.053,4.973,1,1
Donor,7UJO_QYM_C601,21.033,-11.416,2.105,0,1
Donor,7UJO_QYM_C601,27.162,-13.383,10.869,5,0
Donor,7UJY_RL4_C601,28.038,-4.428,6.312,1,1
Donor,7UJY_RL4_C601,20.859,-10.977,1.77,0,1
Donor,8DU8_TS7_B601,24.269,-12.804,7.023,2,0
Donor,8DUB_TTU_B601,24.191,-12.788,6.973,2,0
Donor,8DUB_TTU_B601,27.951,-4.298,6.502,1,1
Donor,8DUB_TTU_B601,20.766,-11.116,1.853,0,1
Donor,8DUC_TU9_A601,24.163,-12.99,7.016,2,0
Donor,8DUC_TU9_A601,29.6,-4.072,5.175,1,1
Donor,8DUC_TU9_A601,20.759,-11.21,1.774,0,1
Donor,8DUD_TV3_A601,24.071,-12.941,6.942,2,0
Donor,8DUD_TV3_A601,29.286,-3.448,6.508,1,1
Donor,8DUD_TV3_A601,20.646,-11.061,1.679,0,1
Donor,8DUK_TW6_C601,24.383,-12.797,7.096,2,0
Donor,8DUK_TW6_C601,28.27,-4.12,5.906,1,1
Donor,8DUK_TW6_C601,21.002,-11.072,2.016,0,1
Donor,8DV5_TX9_A601,24.28,-12.848,7.02,2,0
Donor,8DV5_TX9_A601,28.586,-3.726,5.941,1,1
Donor,8DV5_TX9_A601,20.782,-11.071,1.971,0,1
Donor,8DV7_TXK_B601,24.188,-12.847,7.048,2,0
Donor,8DV7_TXK_B601,29.043,-3.126,5.564,1,1
